Date_week_commencing_Saturday,Month,Volume_in_KG_of_sales_of_pack,Average_Price,Average_Price,PromotionLow_Display,Promotion_Display,Promotion_Other,Promotion_Money_Off,Promotion_Money_Back,Promotion_2_for_3,Promtion_Temporary_Price_Reduction,Promotion_Display,Promtion_Temporary_Price_Reduction,Promotion_Half_Price,Promotion_Display,Promotion_Money_Off,Consumer_confidence_from_GSK,Google_trends_of_the_term_horse_meat_scandal,Television_advert_spend,Newspaper_advert_spend,total_Spend_on_the_facebook_advertising,Spend_of_Television_sponsorship_sponsoring_the_TV_show,UK weather,UK weather,UK weather,UK weather,Dummy variable,Dummy variable,Bank Holiday (BH)Dummy variable,Bank Holiday (BH)Dummy variable,Bank Holiday (BH)Dummy variable,Bank Holiday (BH)Dummy variable,Dummy Variable,Dummy Variable,Bank Holiday (BH)Dummy variable,Bank Holiday (BH)Dummy variable,Bank Holiday (BH)Dummy variable,Dummy Variable,Dummy Variable,Dummy Variable,Dummy Variable,Dummy Variable,Dummy Variable
Date,Month,Volume_Super_Bacon_Thick_454g,kg_Avg_Price_Super_Bacon_Thick_454g,kg_Avg_Price_Super_Bacon_Thick_681g,Promos__Super_Bacon_Thick_454g_lowDisp,Promos__Super_Bacon_Thick_454g_Disp,Promos__Super_Bacon_Thick_454g_Other,Promos__Super_Bacon_Thick_454g_low_Money_Off,Promos__Super_Bacon_Thick_454g_MB,Promos__Super_Bacon_Thick_454g_2for3pn,Promos__Super_Bacon_Thick_454g_TPR,Promos__Super_Bacon_Thick_681g_Disp,Promos__Super_Bacon_Thick_681g_TPR,Promos__Super_Bacon_Thick_681g_Half_Price,Promos__Super_Bacon_Thin_340g_Disp,Promos__Super_Bacon_Thin_340g_Money_Off,Economy_Consumer_Confidence_Index_,Horse_Meat_Scandal,Super_Bacon_Media__Bacon__TV_Spend,Super_Bacon_Media__Press__Spend,Super_Bacon_Media__Facebook_Spend,Super_Bacon_Media__TV_Sponsorship,Seasonality__Average_Temperature_C,Seasonality__Snow_,Seasonality__Precipitation_,Seasonality__Sunshine_,Seasonality__New_Years_Day,Seasonality__Valentines_Day,Seasonality__Easter_Monday_BH,Seasonality__Early_May_BH,Seasonality__Spring_BH,Seasonality__Summer_BH,Seasonality__Christmas,Seasonality__New_Years_Eve,Seasonality__Royal_Wedding_BH,Seasonality__Diamond_Jubilee_BH,Seasonality__All_Bank_Holidays,Seasonality__2012_London_Olympics,Seasonality__2011_Riots,Seasonality__Football_Euros,Seasonality__Mothers_Day,Seasonality__Fathers_Day,Seasonality__St_Patricks_Day
09/04/2011,4,31316.5,4.497651398,2.935353781,0,0,0,0,0,0,0,0.142783748,0.237972913,0,0,0,-29.28571429,0,0,0,0,0,12.83725968,0,10.24771451,6.168367347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16/04/2011,4,34988.9,4.636539017,3.383549734,0,0,0,0,0,0,0,0,0.142783748,0,0,0,-27.28571429,0,0,0,0,0,11.589675,0,3.627612938,4.693877551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/04/2011,4,47610.5,4.606380945,4.393871293,0,0,0,0,0,0,0,0,0,0,0,0,-25.28571429,0,0,0,0,0,15.3907308,0,1.383908046,8.326530612,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30/04/2011,4,43975.3,4.642551614,3.182245351,0,0,0,0,0,0,0,0,0.095189165,0,0,0,-23.28571429,0,0,0,0,0,13.53821679,0,0.977011494,9.035714286,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0
07/05/2011,5,32060.6,4.634514014,2.935735889,0,0,0,0,0,0,0,0,0.333162079,0,0,0,-21.46938776,0,0,0,0,0,14.0834088,0,9.112643678,8.006279435,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
14/05/2011,5,26900,4.575085502,2.934231269,0,0,0,0,0,0,0,0,0.333162079,0,0,0,-21.85714286,0,0,0,0,0,13.58111213,0,16.10753683,6.534769463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21/05/2011,5,29983.1,4.534357688,3.060636341,0,0,0,0,0,0,0,0,0.142783748,0,0,0,-22.85714286,0,0,0,0,0,13.52797123,0,11.07126437,4.239417989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/05/2011,5,33339.9,4.620535754,3.719082672,0,0,0,0,0,0,0,0,0,0,0,0,-23.85714286,0,0,0,0,0,12.81552061,0,18.35752473,5.173469388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/06/2011,6,34623.9,4.626604744,3.999972248,0,0,0,0,0,0,0,0,0,0,0,0,-24.87244898,0,0,0,0,0,15.88999977,0,9.153181552,7.735260771,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
