Date,Prediction,Actual
09/04/2011,29425.8022,31316.5
16/04/2011,30209.7507,34988.9
23/04/2011,41812.91588,47610.5
30/04/2011,43975.3,43975.3
07/05/2011,26403.07627,32060.6
14/05/2011,24226.48017,26900
21/05/2011,27735.4194,29983.1
28/05/2011,29655.9508,33339.9
04/06/2011,32992.97278,34623.9
11/06/2011,61382.64052,58825.2
18/06/2011,63926.2012,66231.8
25/06/2011,62549.09855,62160.3
02/07/2011,41799.6793,42763.2
09/07/2011,32893.77738,32281.2
16/07/2011,31150.89732,34622
23/07/2011,34182.36486,42823.6
30/07/2011,31095.89943,39703.7
06/08/2011,29955.86588,37677.5
13/08/2011,35807.72682,34263.4
20/08/2011,31539.3548,32693
27/08/2011,33538.06728,33718.6
03/09/2011,31151.09441,32061.5
10/09/2011,28782.13249,31728.2
17/09/2011,28132.7647,30707.7
24/09/2011,28185.15782,33841.2
01/10/2011,34339.21747,35717.1
08/10/2011,32759.14508,33981
15/10/2011,25468.53703,27954.1
22/10/2011,21858.34136,11123.5
29/10/2011,21335.65561,25018.1
05/11/2011,26537.38403,30090.2
12/11/2011,30785.20288,29887.7
19/11/2011,30811.19543,29757.4
26/11/2011,30462.69789,30289.1
03/12/2011,32788.09113,31990.2
10/12/2011,36293.52541,33759
17/12/2011,36143.79304,35867.8
24/12/2011,35900.24794,48900.8
31/12/2011,32595.02531,33020.3
07/01/2012,36156.22531,36581.5
14/01/2012,32072.07792,34104.5
21/01/2012,33372.25209,32333
28/01/2012,37667.46188,31827.2
04/02/2012,42981.62215,39596.5
11/02/2012,34498.47785,37883.6
18/02/2012,31747.50975,31873.1
25/02/2012,30298.6515,27279
03/03/2012,33117.0986,30330.8
10/03/2012,36100.60122,35993.1
17/03/2012,36451.00724,36435.8
24/03/2012,37275.84784,34187.6
31/03/2012,31187.05055,32156.8
07/04/2012,37570.38984,33915.2
14/04/2012,31363.12923,31397.7
21/04/2012,47386.86704,48759.1
28/04/2012,54731.91861,52443.8
05/05/2012,52956.06715,54960.3
12/05/2012,56772.98063,56076.7
19/05/2012,35750.68344,36738.6
26/05/2012,38678.91924,37376.9
02/06/2012,35644.55729,38219.5
09/06/2012,33806.7,33806.7
16/06/2012,29843.3187,29485
23/06/2012,23958.59377,26039.6
30/06/2012,28190.43219,27057.5
07/07/2012,24543.28735,20415
14/07/2012,23904.98386,17671.9
21/07/2012,24183.49179,18883.2
28/07/2012,24232.64012,21248.1
04/08/2012,20920.49389,20430.9
11/08/2012,23069.83318,24628.6
18/08/2012,25241.6303,23726.5
25/08/2012,25152.61547,20240.2
01/09/2012,22713.64018,19360.8
08/09/2012,29020.22397,19344
15/09/2012,29509.30145,23385.5
22/09/2012,33790.42378,30029.8
29/09/2012,32300.01012,38127.8
06/10/2012,34998.92301,32619.4
13/10/2012,34908.43842,32068.3
20/10/2012,30800.69361,33632.3
27/10/2012,21564.17462,30087.5
03/11/2012,22232.93505,27395.7
10/11/2012,23017.89595,24404.8
17/11/2012,24033.18794,20108.1
24/11/2012,23637.54237,18634
01/12/2012,25615.57708,23508.6
08/12/2012,34432.58322,31241.6
15/12/2012,32857.27268,32904.6
22/12/2012,32000.98108,37731.9
29/12/2012,30049.11627,26917.2
05/01/2013,30905.67904,33256
12/01/2013,29426.34784,31853.5
19/01/2013,32898.34458,35140.5
26/01/2013,32253.25694,33303.2
02/02/2013,29725.84606,30298.6
09/02/2013,31441.81399,30888.8
16/02/2013,33676.3135,30711.3
23/02/2013,21502.67792,24242.2
02/03/2013,16749.84961,20800.5
09/03/2013,16609.83827,16095.7
16/03/2013,20564.32291,19782.1
23/03/2013,25369.15437,24570
30/03/2013,35155.69095,30625
06/04/2013,20109.86396,20501.7
13/04/2013,13734.53024,16482.5
20/04/2013,19886.48138,13507
27/04/2013,26027.72387,19356.7
04/05/2013,28547.55402,23302.9
11/05/2013,31863.9431,26902.7
18/05/2013,51431.79488,47666.8
25/05/2013,66086.8309,64801.2
01/06/2013,67914.42722,66283.5
08/06/2013,65360.387,67705
15/06/2013,67208.00757,66751.2
22/06/2013,62865.10768,61172.9
29/06/2013,40089.25552,37369.6
06/07/2013,27604.75018,30593.2
13/07/2013,28810.38688,29555.4
