,Month,Volume_Super_Bacon_Thick_454g,kg_Avg_Price_Super_Bacon_Thick_454g,kg_Avg_Price_Super_Bacon_Thick_681g,Promos__Super_Bacon_Thick_454g_lowDisp,Promos__Super_Bacon_Thick_454g_Disp,Promos__Super_Bacon_Thick_454g_Other,Promos__Super_Bacon_Thick_454g_low_Money_Off,Promos__Super_Bacon_Thick_454g_MB,Promos__Super_Bacon_Thick_454g_2for3pn,Promos__Super_Bacon_Thick_454g_TPR,Promos__Super_Bacon_Thick_681g_Disp,Promos__Super_Bacon_Thick_681g_TPR,Promos__Super_Bacon_Thick_681g_Half_Price,Promos__Super_Bacon_Thin_340g_Disp,Promos__Super_Bacon_Thin_340g_Money_Off,Economy_Consumer_Confidence_Index_,Horse_Meat_Scandal,Super_Bacon_Media__Bacon__TV_Spend,Super_Bacon_Media__Press__Spend,Super_Bacon_Media__Facebook_Spend,Super_Bacon_Media__TV_Sponsorship,Seasonality__Average_Temperature_C,Seasonality__Snow_,Seasonality__Precipitation_,Seasonality__Sunshine_,Seasonality__New_Years_Day,Seasonality__Valentines_Day,Seasonality__Easter_Monday_BH,Seasonality__Early_May_BH,Seasonality__Spring_BH,Seasonality__Summer_BH,Seasonality__Christmas,Seasonality__New_Years_Eve,Seasonality__Royal_Wedding_BH,Seasonality__Diamond_Jubilee_BH,Seasonality__All_Bank_Holidays,Seasonality__2012_London_Olympics,Seasonality__2011_Riots,Seasonality__Football_Euros,Seasonality__Mothers_Day,Seasonality__Fathers_Day,Seasonality__St_Patricks_Day
Month,1.0,-0.09647569775534436,-0.032958447344172005,-0.13480863535526028,-0.14811110551998066,-0.020306017598497927,0.07244769877655656,-0.2738905127168963,-0.01841243444931712,-0.09138802612338666,-0.04917810145382495,0.1559054321792356,0.07862399575451853,0.0925561934729121,0.13822598658497148,0.08081740157773122,-0.11507453661234293,-0.28407106910155616,-0.17778307890360442,-0.07655806933975384,-0.019969608477914343,-0.10132131692326814,0.2553995292042083,-0.20084362871358494,0.13007158264840313,-0.12900616754272148,-0.22230199384657304,-0.1819751015388048,-0.11737016665093741,-0.06099442461549961,-0.02066753230773127,0.08687084717965103,0.22129382153887878,-0.07443672205142243,-0.05812881405716398,-0.011857121275341904,-0.029464379880062265,0.05339123735106191,0.04054458418754042,-0.021393678055203466,-0.14072741374565137,-0.020667532307731273,-0.14164820923103633
Volume_Super_Bacon_Thick_454g,-0.09647569775534436,1.0,-0.35653825407744705,0.49207723782613827,0.015350549260897076,0.34069271063145085,-0.06148793107938435,-0.03138033969972464,0.2438900783524825,0.17909184055401328,0.8158071485082791,-0.3577258237994036,-0.29278922520276496,-0.3552932810923754,-0.033075381211759285,-0.10273149587364488,0.4257988163947655,-0.11185636201644296,0.08001677543360748,-0.14951435188841283,0.20526621290973057,0.2030280906284797,0.05693265688165706,-0.06982945611397391,-0.03912796156231589,0.08330846706520131,0.02834114792955254,0.005910278718834197,-0.041112768290839395,0.015177868775834023,0.07656687707199242,0.015184733426224725,-0.07204905953176939,0.01722915112439861,0.03893574142498816,-0.015673833806776803,0.025126009365918106,-0.1291580342479608,-0.011975984112843516,-0.09461920304241599,-0.02681113093650131,0.12230635465474828,-0.07802973016987973
kg_Avg_Price_Super_Bacon_Thick_454g,-0.032958447344172005,-0.35653825407744705,1.0,0.2898296341520576,-0.15313386516181832,-0.33607614361656357,-0.402472369241906,-0.32885642202389076,-0.11413298073148641,-0.2932422063451983,-0.17957704772482597,-0.11695204565409091,-0.1119131209832421,0.037042396252370415,0.02602305262719011,0.10016734466108555,0.22510646308632815,0.3436956612512516,-0.1603122447673496,0.0815465278637622,0.05412690446710154,-0.011038858343704357,-0.19987132762455737,0.20597006651174204,-0.03986932858007476,-0.12464857136330394,0.09646965378915828,0.016268790671491982,0.09968693284946085,-0.021292741865939133,-0.07778704203492533,-0.01118479067370803,0.13790145083167435,0.09118478422607464,0.018138258184846757,-0.12684029490026136,0.11675641744357776,0.013740640916733927,-0.03585033100383883,-0.30551241290302805,0.03195587532506369,-0.1466158878841899,0.061598266804141356
kg_Avg_Price_Super_Bacon_Thick_681g,-0.13480863535526028,0.49207723782613827,0.2898296341520576,1.0,-0.06646302701603421,0.14851519958621742,-0.03809620566523401,-0.20393005491514815,-0.01300118429003179,-0.11401087542325358,0.45368115468312975,-0.6170071505445027,-0.3362445897382266,-0.6797161754202525,0.07101960142006732,0.02793298349948692,0.4224479030346244,0.10942325851176274,-0.06705529393262749,-0.14556215924711277,0.2271735307202946,0.044329168826488075,0.02818709001708949,0.09714180897878591,0.018620943251523556,0.05136899202407321,0.10667239806910535,0.00890980149541684,-0.14721579891450776,0.0132273519255236,0.019418521741535775,0.03053424735287596,0.09904780015075065,0.1077133140154302,-0.062154439986608634,-0.07068482499910529,0.06357576872115411,-0.11265825962546375,-0.05625705630239799,-0.1489188263774164,-0.0465174782964857,-0.010779159855613297,0.039237415455137994
Promos__Super_Bacon_Thick_454g_lowDisp,-0.14811110551998066,0.015350549260897076,-0.15313386516181832,-0.06646302701603421,1.0,-0.032985993836698736,-0.028455950942208583,0.4313539410399822,-0.016843117391480988,-0.017854026999638496,-0.05458106569315505,-0.046596472590291836,-0.05894878381295087,0.09684756913406745,-0.01650985072330606,-0.04296279368989939,-0.08054439186918283,-0.02550396289125251,0.21647882336586183,-0.011751340285221571,-0.02140647133201994,-0.015552394196725548,-0.2226420447412477,0.3179911163883488,-0.05960320938752181,-0.07610769134930158,-0.015552394196725544,-0.015552394196725543,-0.018015824844372506,-0.015552394196725562,-0.01555239419672556,-0.015552394196725553,-0.015552394196725544,-0.015552394196725544,-0.00892252743901681,-0.008922527439016812,-0.04328829668722782,-0.015031369105923863,-0.010511831154101035,-0.01752349601983501,-0.018015824844372506,-0.015552394196725562,-0.015552394196725538
Promos__Super_Bacon_Thick_454g_Disp,-0.020306017598497927,0.34069271063145085,-0.33607614361656357,0.14851519958621742,-0.032985993836698736,1.0,0.47201241330393606,-0.08080724473088806,0.15618629181013705,-0.04652569314105593,0.3336242776783422,-0.048116718509232215,-0.0637132958578033,-0.12797349668233823,-0.04302291290209937,-0.11195646538112808,-0.014914035241117578,-0.04692917455007995,-0.007109932739295744,-0.030622741419480157,0.3807969801376239,-0.04052788315040873,0.14151159015186424,-0.07239955442597718,0.07199433760058388,0.22909194700643967,-0.04052788315040875,-0.040527883150408735,-0.0469473210950817,-0.04052788315040879,0.12585581318866523,-0.040527883150408776,-0.04052788315040875,-0.04052788315040874,-0.02325115637378353,-0.023251156373783527,-0.06318577994346966,-0.03917014724612663,-0.027392712615265984,0.1584713779701052,-0.046947321095081714,0.2907398210901764,-0.040527883150408756
Promos__Super_Bacon_Thick_454g_Other,0.07244769877655656,-0.06148793107938435,-0.402472369241906,-0.03809620566523401,-0.028455950942208583,0.47201241330393606,1.0,-0.06970979874733778,-0.03786366685426147,-0.040136211997383854,-0.12269933409129291,0.027133815264232388,0.08305046484694013,-0.11039860013082343,-0.0371144766774011,-0.0965812248168205,-0.1771351077415957,-0.057333421832365776,-0.06075743146090465,-0.026417249450255656,-0.04812217834751053,-0.03496209513737703,0.09050922266432049,-0.06245675601537537,0.17933709571235318,0.12148107369820049,-0.03496209513737704,-0.03496209513737704,-0.04049993680843603,-0.03496209513737706,0.07626462984056336,-0.034962095137377046,-0.03496209513737703,-0.03496209513737703,-0.02005802124372863,0.17137684589266325,-0.030972940165575426,-0.03379082024791949,-0.02363080797907642,0.3874308282784257,-0.040499936808436034,0.1656131725003495,-0.03496209513737703
Promos__Super_Bacon_Thick_454g_low_Money_Off,-0.2738905127168963,-0.03138033969972464,-0.32885642202389076,-0.20393005491514815,0.4313539410399822,-0.08080724473088806,-0.06970979874733778,1.0,-0.041261327938836856,-0.043737797816070435,-0.1337096452201628,0.10563060628209058,-0.025066285191124332,0.14626098540029467,-0.04044490987518301,0.09201194016891039,-0.22958932607875263,-0.062478183351506664,0.314897022376625,-0.028787776868113284,-0.05244037746186625,-0.038099386370704015,-0.15941245907440235,0.1019152112211462,-0.1799970492996032,-0.10353731219075313,-0.038099386370703994,0.1512598543594735,-0.04413416113624429,-0.038099386370704015,-0.03809938637070405,-0.038099386370703994,-0.03809938637070401,-0.03809938637070401,-0.021857909206923425,-0.021857909206923414,-0.10604525065109253,-0.036823008213605554,-0.011906621434400463,-0.042928081488942345,0.12038052084001225,-0.038099386370704036,0.1512598543594735
Promos__Super_Bacon_Thick_454g_MB,-0.01841243444931712,0.2438900783524825,-0.11413298073148641,-0.01300118429003179,-0.016843117391480988,0.15618629181013705,-0.03786366685426147,-0.041261327938836856,1.0,-0.023756680340580958,-0.07262590844893367,-0.06200155877150967,-0.0784376215818787,-0.06534508671437524,-0.02196811095402924,-0.057166562829211266,-0.07980149075024857,-0.03393573303310189,0.38135489116820787,-0.015636407110566863,-0.028483585057024086,-0.020694113292748832,0.11287856034324194,-0.0369682417429837,0.05100344392210666,0.0957127713335585,-0.020694113292748815,-0.020694113292748832,-0.023971969567891875,-0.020694113292748808,-0.020694113292748822,-0.020694113292748822,-0.020694113292748825,-0.020694113292748825,-0.011872370989641537,-0.011872370989641544,-0.05759967915963859,-0.020000834038054676,-0.013987108484108094,-0.02331687374512721,-0.023971969567891875,0.3304787184712087,-0.02069411329274882
Promos__Super_Bacon_Thick_454g_2for3pn,-0.09138802612338666,0.17909184055401328,-0.2932422063451983,-0.11401087542325358,-0.017854026999638496,-0.04652569314105593,-0.040136211997383854,-0.043737797816070435,-0.023756680340580958,1.0,-0.07698485382381606,-0.06572283969748391,-0.08314538104559004,-0.06926704334924735,-0.023286618325338744,-0.06059765140302969,-0.11641378049519535,-0.03597252692259789,-0.03812084241833062,-0.016574890992008536,-0.030193145653180813,-0.021936156405891385,-0.053242446361400776,-0.03895243080583638,0.12369369709750015,0.03548364489821355,-0.02193615640589137,-0.021936156405891374,-0.0254107468321826,0.29304455112319816,-0.02193615640589138,-0.021936156405891385,-0.02193615640589138,-0.02193615640589137,-0.012584940618296509,-0.012584940618296507,0.03287671859118532,-0.02120126711883703,-0.014826602862035933,-0.02471633271422918,-0.025410746832182605,-0.021936156405891385,-0.021936156405891374
