,0,1,2,3,4,5,6
0,,coef,std err,t,P>|t|,[0.025,0.975]
1,Intercept, 3.198e+04, 9888.921,    3.234, 0.002, 1.24e+04, 5.16e+04
2,kg_Avg_Price_Super_Bacon_Thick_454g,-3562.5676, 2016.057,   -1.767, 0.080,-7559.165,  434.030
3,kg_Avg_Price_Super_Bacon_Thick_681g, 1413.4738, 1620.642,    0.872, 0.385,-1799.260, 4626.207
4,Promos__Super_Bacon_Thick_454g_lowDisp, 1.286e+04, 2.81e+04,    0.457, 0.648,-4.29e+04, 6.86e+04
5,Promos__Super_Bacon_Thick_454g_Disp,-2441.3343, 1.08e+04,   -0.226, 0.821,-2.38e+04, 1.89e+04
6,Promos__Super_Bacon_Thick_454g_Other, 1.497e+04, 1.11e+04,    1.349, 0.180,-7028.221,  3.7e+04
7,Promos__Super_Bacon_Thick_454g_low_Money_Off, 3.167e+04, 1.45e+04,    2.192, 0.031, 3026.084, 6.03e+04
8,Promos__Super_Bacon_Thick_454g_MB, 2.803e+05,  3.3e+04,    8.482, 0.000, 2.15e+05, 3.46e+05
9,Promos__Super_Bacon_Thick_454g_2for3pn,  9.65e+04, 1.63e+04,    5.933, 0.000, 6.43e+04, 1.29e+05
10,Promos__Super_Bacon_Thick_454g_TPR, 1.856e+05, 1.37e+04,   13.587, 0.000, 1.59e+05, 2.13e+05
11,Promos__Super_Bacon_Thick_681g_Disp,-1502.8756, 4991.456,   -0.301, 0.764,-1.14e+04, 8392.103
12,Promos__Super_Bacon_Thick_681g_TPR,-1.362e+04, 8687.125,   -1.568, 0.120,-3.08e+04, 3600.273
13,Promos__Super_Bacon_Thick_681g_Half_Price,-1.397e+04, 8591.933,   -1.626, 0.107, -3.1e+04, 3063.019
14,Promos__Super_Bacon_Thin_340g_Disp, 1.452e+04, 1.68e+04,    0.866, 0.389,-1.87e+04, 4.78e+04
15,Promos__Super_Bacon_Thin_340g_Money_Off, 1450.1797, 6400.387,    0.227, 0.821,-1.12e+04, 1.41e+04
16,Economy_Consumer_Confidence_Index_, -109.9038,   79.189,   -1.388, 0.168, -266.886,   47.079
17,Horse_Meat_Scandal,   32.3674,   42.507,    0.761, 0.448,  -51.897,  116.632
18,Super_Bacon_Media__Bacon__TV_Spend,    0.0267,    0.021,    1.285, 0.202,   -0.014,    0.068
19,Super_Bacon_Media__Press__Spend,   -0.2931,    0.231,   -1.270, 0.207,   -0.751,    0.164
20,Super_Bacon_Media__Facebook_Spend,   -0.5635,    0.667,   -0.845, 0.400,   -1.886,    0.759
21,Super_Bacon_Media__TV_Sponsorship,    0.1121,    0.115,    0.978, 0.330,   -0.115,    0.339
22,Seasonality__Average_Temperature_C,  442.6145,  267.675,    1.654, 0.101,  -88.019,  973.248
23,Seasonality__Snow_,  104.3958,   94.221,    1.108, 0.270,  -82.386,  291.178
24,Seasonality__Precipitation_,  -45.2168,   52.933,   -0.854, 0.395, -150.150,   59.717
25,Seasonality__Sunshine_, -121.0860,  373.773,   -0.324, 0.747, -862.047,  619.874
26,Seasonality__New_Years_Day,-5746.1655, 5320.549,   -1.080, 0.283,-1.63e+04, 4801.202
27,Seasonality__Valentines_Day,-1413.9932, 3465.212,   -0.408, 0.684,-8283.371, 5455.385
28,Seasonality__Easter_Monday_BH,-6676.5652, 3718.280,   -1.796, 0.075, -1.4e+04,  694.492
29,Seasonality__Early_May_BH,-4930.2565, 4473.571,   -1.102, 0.273,-1.38e+04, 3938.076
30,Seasonality__Spring_BH,-2934.5027, 4961.951,   -0.591, 0.555,-1.28e+04, 6901.986
31,Seasonality__Summer_BH,-8891.1023, 4362.606,   -2.038, 0.044,-1.75e+04, -242.744
32,Seasonality__Christmas,-1.725e+04, 6870.236,   -2.510, 0.014,-3.09e+04,-3626.244
33,Seasonality__New_Years_Eve, -690.1174, 4167.232,   -0.166, 0.869,-8951.168, 7570.933
34,Seasonality__Royal_Wedding_BH, 6085.5791, 6362.806,    0.956, 0.341,-6527.943, 1.87e+04
35,Seasonality__Diamond_Jubilee_BH,-4420.6825, 6888.831,   -0.642, 0.522,-1.81e+04, 9235.622
36,Seasonality__All_Bank_Holidays, 6998.6289, 2974.760,    2.353, 0.020, 1101.515, 1.29e+04
37,Seasonality__2012_London_Olympics, -443.5255,  545.921,   -0.812, 0.418,-1525.751,  638.700
38,Seasonality__2011_Riots, 1477.0648,  971.066,    1.521, 0.131, -447.960, 3402.089
39,Seasonality__Football_Euros,  136.0315,  594.213,    0.229, 0.819,-1041.926, 1313.989
40,Seasonality__Mothers_Day,  571.7932, 2689.973,    0.213, 0.832,-4760.765, 5904.351
41,Seasonality__Fathers_Day,-5336.8263, 3314.781,   -1.610, 0.110,-1.19e+04, 1234.340
42,Seasonality__St_Patricks_Day,  110.8092, 3134.546,    0.035, 0.972,-6103.062, 6324.681
43,Month_1, 4431.9913, 2109.881,    2.101, 0.038,  249.399, 8614.584
44,Month_2, 5078.7124, 2265.023,    2.242, 0.027,  588.569, 9568.856
45,Month_3, 1298.5781, 1791.429,    0.725, 0.470,-2252.720, 4849.877
46,Month_4, 4513.5970, 2099.687,    2.150, 0.034,  351.212, 8675.982
47,Month_5, 2042.0152, 1810.081,    1.128, 0.262,-1546.259, 5630.289
48,Month_6, -638.8862, 2671.832,   -0.239, 0.811,-5935.481, 4657.709
49,Month_7,   -4.4154, 2403.090,   -0.002, 0.999,-4768.260, 4759.430
50,Month_8,  258.7899, 2566.393,    0.101, 0.920,-4828.786, 5346.365
51,Month_9,-2291.2105, 1832.596,   -1.250, 0.214,-5924.118, 1341.697
52,Month_10, 2493.2030, 1732.122,    1.439, 0.153, -940.527, 5926.933
53,Month_11, 6704.1867, 1693.179,    3.960, 0.000, 3347.657, 1.01e+04
54,Month_12, 8093.6960, 1951.182,    4.148, 0.000, 4225.706,  1.2e+04
