Variables,Variables,Size Of Impact,,,,Variables,Map,,,
Promos__Super_Bacon_Thick_454g_TPR,Temporary Price Reduction Promotion 454g,0.830926973,,,,Promos__Super_Bacon_Thick_454g_TPR,Temporary Price Reduction Promotion 454g,,,
Promos__Super_Bacon_Thick_454g_MB,Money Back Promotion 454g,0.300741531,,,,Promos__Super_Bacon_Thick_454g_MB,Money Back Promotion 454g,,,
Promos__Super_Bacon_Thick_454g_2for3pn,2 for 3 Promotion,0.211715275,,,,Promos__Super_Bacon_Thick_454g_2for3pn,2 for 3 Promotion,,,
Seasonality__Average_Temperature_C,Temperature,0.131321967,,,,Seasonality__Average_Temperature_C,Temperature,,,
Seasonality__Christmas_Eve,Christmas Eve,0.09776786,,,,Seasonality__Christmas_Eve,Christmas Eve,,,
kg_Avg_Price_Super_Bacon_Thick_681g,Price 681g,0.095433784,,,,kg_Avg_Price_Super_Bacon_Thick_681g,Price 681g,,,
Month_12,December,0.085544179,,,,Month_12,December,,,
Promos__Super_Bacon_Thick_454g_low_Money_Off,Money Off Promotion 454g,0.084582837,,,,Promos__Super_Bacon_Thick_454g_low_Money_Off,Money Off Promotion 454g,,,
Month_11,November,0.078329843,,,,Month_11,November,,,
Seasonality__Good_Friday_BH,Good Friday,0.068145995,,,,Seasonality__Good_Friday_BH,Good Friday,,,
Seasonality__Royal_Wedding_BH,Royal Wedding,0.065850561,,,,Seasonality__Royal_Wedding_BH,Royal Wedding,,,
Super_Bacon_Media__Bacon__TV_Spend,TV Advertisement,0.056641632,,,,Super_Bacon_Media__Bacon__TV_Spend,TV Advertisement,,,
Promos__Super_Bacon_Thick_454g_Other,Other Promos 454g,0.053609372,,,,Promos__Super_Bacon_Thick_454g_Other,Other Promos 454g,,,
Seasonality__New_Years_Eve,New Years Eve,0.048114468,,,,Seasonality__New_Years_Eve,New Years Eve,,,
Month_2,February,0.045419119,,,,Month_2,February,,,
Seasonality__Snow_,Snow,0.039923429,,,,Seasonality__Snow_,Snow,,,
Seasonality__2011_Riots,Riots,0.039902731,,,,Seasonality__2011_Riots,Riots,,,
Month_4,April,0.037359655,,,,Month_4,April,,,
Promos__Super_Bacon_Thin_340g_Disp,Display Promotion 340g,0.034123283,,,,Promos__Super_Bacon_Thin_340g_Disp,Display Promotion 340g,,,
Month_1,January,0.030810307,,,,Month_1,January,,,
Seasonality__Spring_BH,Spring,0.03072309,,,,Seasonality__Spring_BH,Spring,,,
