,VIF Factor,features
0,6.91926496675925,kg_Avg_Price_Super_Bacon_Thick_454g
1,18.789988891398398,kg_Avg_Price_Super_Bacon_Thick_681g
2,2.2002966575140306,Promos__Super_Bacon_Thick_454g_lowDisp
3,2.8627073828918443,Promos__Super_Bacon_Thick_454g_Disp
4,3.2319924414567565,Promos__Super_Bacon_Thick_454g_Other
5,2.785231347567763,Promos__Super_Bacon_Thick_454g_low_Money_Off
6,2.266473011598154,Promos__Super_Bacon_Thick_454g_MB
7,2.24636200423814,Promos__Super_Bacon_Thick_454g_2for3pn
8,6.53542993821028,Promos__Super_Bacon_Thick_454g_TPR
9,3.502723694300063,Promos__Super_Bacon_Thick_681g_Disp
10,7.0548251222192375,Promos__Super_Bacon_Thick_681g_TPR
11,15.961886816661478,Promos__Super_Bacon_Thick_681g_Half_Price
12,1.6449853959794134,Promos__Super_Bacon_Thin_340g_Disp
13,1.683584306215372,Promos__Super_Bacon_Thin_340g_Money_Off
14,3.951072375588279,Economy_Consumer_Confidence_Index_
15,2.314264958946826,Horse_Meat_Scandal
16,2.000498454130929,Super_Bacon_Media__Bacon__TV_Spend
17,1.5366977204927599,Super_Bacon_Media__Press__Spend
18,1.9379210528415536,Super_Bacon_Media__Facebook_Spend
19,1.6267459579579264,Super_Bacon_Media__TV_Sponsorship
20,12.645604453484122,Seasonality__Average_Temperature_C
21,2.143327664620985,Seasonality__Snow_
22,2.1751999690344244,Seasonality__Precipitation_
23,4.910733650451092,Seasonality__Sunshine_
24,4.1292526620912335,Seasonality__New_Years_Day
25,1.7515324182097018,Seasonality__Valentines_Day
26,2.67181612399083,Seasonality__Easter_Monday_BH
27,2.9192229524849975,Seasonality__Early_May_BH
28,3.591397611872835,Seasonality__Spring_BH
29,2.776199718956584,Seasonality__Summer_BH
30,6.884967935138362,Seasonality__Christmas
31,2.5331091758309094,Seasonality__New_Years_Eve
32,1.9935735732616258,Seasonality__Royal_Wedding_BH
33,2.3368235474761634,Seasonality__Diamond_Jubilee_BH
34,14.51407908798122,Seasonality__All_Bank_Holidays
35,1.4944152461977227,Seasonality__2012_London_Olympics
36,1.2043524055914638,Seasonality__2011_Riots
37,2.596422821713357,Seasonality__Football_Euros
38,1.39835730890994,Seasonality__Mothers_Day
39,1.6027589871811114,Seasonality__Fathers_Day
40,1.4332034667681897,Seasonality__St_Patricks_Day
41,64.22551515590567,Month_1
42,68.38302539511982,Month_2
43,81.23960674445625,Month_3
44,90.99101986449529,Month_4
45,68.9445111636033,Month_5
46,91.48770942607675,Month_6
47,85.71257858301335,Month_7
48,87.39504572560179,Month_8
49,76.28476875530579,Month_9
50,77.56827610929703,Month_10
51,71.11608979738497,Month_11
52,75.75664705000261,Month_12
